,sn,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,totalcases_permillion,totaldeaths_permillion,total_tests,totaltests_permillion,population
33,26,Israel,126419,,993,,"100,357",,"25,069",426,"13,745",108,"2,388,574","259,696"
34,27,Qatar,119864,+227,202,+1,"116,780",+242,"2,882",51,"42,690",72,"654,973","233,269"
35,28,Bolivia,119580,+799,"5,343",+55,"67,844","+1,960","46,393",71,"10,220",457,"250,550","21,413"
36,29,Ecuador,117175,,"6,674",,"102,200",,"8,301",377,"6,624",377,"344,126","19,453"
37,30,Kazakhstan,106225,+104,"1,588",,"99,018",+433,"5,619",221,"5,645",84,"2,434,444","129,378"
38,31,Egypt,99582,,"5,495",,"76,305",,"17,782",41,970,54,"135,000","1,315"
39,32,Dominican Republic,96629,,"1,801",,"70,871",,"23,957",199,"8,892",166,"379,929","34,961"
40,33,Panama,95596,,"2,063",,"68,742",,"24,791",164,"22,095",477,"350,669","81,048"
41,34,Romania,93864,"+1,269","3,850",+38,"40,028",+402,"49,986",476,"4,885",200,"1,923,620","100,116"
42,35,Kuwait,88243,,537,,"79,417",,"8,289",94,"20,610",125,"636,220","148,592"
43,36,Belgium,87174,+630,"9,901",+2,"18,534",+21,"58,739",52,"7,516",854,"2,390,994","206,143"
44,37,Oman,86380,,705,,"81,828",,"3,847",144,"16,842",137,"309,212","60,290"
222,215,China,85112,+10,"4,634",,"80,284",+21,194,3,59,3,"160,000,000","111,163"
45,38,Guatemala,77040,,"2,825",,"65,029",,"9,186",5,"4,286",157,"256,054","14,246"
46,39,UAE,73471,+705,388,+1,"63,652",+494,"9,431",,"7,413",39,"7,488,142","755,497"
47,40,Netherlands,73208,,"6,237",,N/A,N/A,N/A,46,"4,271",364,"1,455,274","84,896"
48,41,Belarus,72485,,701,,"71,510",,274,,"7,671",74,"1,564,458","165,573"
49,42,Poland,70387,+567,"2,113",+13,"52,346","+2,526","15,928",77,"1,860",56,"2,777,601","73,406"
50,43,Japan,70268,,"1,330",,"60,417",,"8,521",214,556,11,"1,560,505","12,345"
51,44,Morocco,68605,,"1,292",,"52,483",,"14,830",193,"1,855",35,"2,023,926","54,718"
52,45,Honduras,63798,+640,"1,984",+30,"12,347",+729,"49,467",31,"6,423",200,"151,844","15,288"
53,46,Portugal,59457,,"1,833",,"42,576",,"15,048",40,"5,834",180,"2,092,057","205,280"
54,47,Singapore,56982,+34,27,,"56,174",,781,,"9,726",5,"2,068,284","353,035"
55,48,Ethiopia,56516,,880,,"20,612",,"35,024",315,490,8,"994,303","8,612"
56,49,Nigeria,54743,,"1,051",,"42,816",,"10,876",7,264,5,"417,398","2,016"
57,50,Bahrain,54095,,196,+1,"50,323",,"3,576",32,"31,609",115,"1,152,274","673,300"
58,51,Venezuela,50973,,412,,"41,249",,"9,312",102,"1,793",14,"1,789,371","62,959"
59,52,Algeria,45773,,"1,539",,"32,259",,"11,975",44,"1,041",35,,
60,53,Costa Rica,45680,,469,,"18,053",,"27,158",212,"8,953",92,"156,466","30,665"
61,54,Nepal,45277,"+1,041",280,+9,"27,127","+1,566","17,870",,"1,549",10,"757,963","25,933"
62,55,Ghana,44777,,283,,"43,693",,801,5,"1,436",9,"446,867","14,330"
